"Taxon ID","Species Name","Scientific Name Authorship","Nomenclatural Status","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Conservation","Invasive"
"NBNSYS0000000039","Rissa tridactyla","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Rissa","Rissa tridactyla",,,
"NHMSYS0000521977","Maniola jurtina","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Maniola","Maniola jurtina",,,
"NBNSYS0000000025","Fulica atra","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra",,,
"NBNSYS0000000220","Gavia immer","(Brünnich, 1764)",,"SPECIES","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia immer",,,
"NBNSYS0000000001","Podiceps cristatus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps cristatus",,,
"NHMSYS0000530358","Falco tinnunculus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco tinnunculus",,,
"NHMSYS0000530158","Anthus petrosus","(Montagu, 1798)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Anthus petrosus",,,
"NHMSYS0000530159","Anthus pratensis","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Anthus pratensis",,,
"NHMSYS0000530313","Corvus corax","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corax",,,
"NBNSYS0000000026","Haematopus ostralegus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Haematopus","Haematopus ostralegus",,,
"NBNSYS0000000139","Aythya fuligula","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya fuligula",,,
"NHMSYS0000530802","Pyrrhula pyrrhula","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Pyrrhula","Pyrrhula pyrrhula",,,
"NHMSYS0000530354","Falco peregrinus","Tunstall, 1771",,"SPECIES","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus",,,
"NHMSYS0021311327","Curruca communis","(Latham, 1787)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca communis",,,
"NHMSYS0000530621","Streptopelia decaocto","(Frivaldszky, 1838)",,"SPECIES","Animalia","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","Streptopelia decaocto",,,
"NHMSYS0001688300","Periparus ater","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus ater",,,
"NBNSYS0000000006","Ardea cinerea","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Ardea","Ardea cinerea",,,
"NBNSYS0000000131","Anas crecca","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca",,,
"NHMSYS0000522857","Pyronia tithonus","(Linnaeus, 1771)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pyronia","Pyronia tithonus",,,
"NBNSYS0000000196","Melanitta nigra","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Melanitta nigra",,,
"NHMSYS0000530628","Sturnus vulgaris","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris",,,
"NHMSYS0000530514","Oenanthe oenanthe","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe oenanthe",,,
"NBNSYS0000000142","Arenaria interpres","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres",,,
"NHMSYS0000523344","Pararge aegeria","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pararge","Pararge aegeria",,,
"NHMSYS0000530139","Alauda arvensis","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis",,,
"NBNSYS0000001346","Motacilla alba yarrellii","Gould, 1837",,"SUBSPECIES","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla alba",,,
"NHMSYS0000530374","Garrulus glandarius","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Garrulus","Garrulus glandarius",,,
"NHMSYS0000503832","Pieris rapae","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris rapae",,,
"NBNSYS0000000040","Alca torda","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alca","Alca torda",,,
"NBNSYS0000176651","Necora puber","(Linnaeus, 1767)",,"SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Necora","Necora puber",,,
"NBNSYS0000000037","Larus fuscus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus fuscus",,,
"NHMSYS0000530559","Phasianus colchicus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Phasianus","Phasianus colchicus",,,
"NBNSYS0000000014","Puffinus puffinus","(Brünnich, 1764)",,"SPECIES","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus puffinus",,,
"NHMSYS0000530734","Emberiza schoeniclus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza schoeniclus",,,
"NHMSYS0000530120","Accipiter nisus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus",,,
"NHMSYS0000530493","Motacilla alba","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla alba",,,
"NBNSYS0000000010","Cygnus olor","(Gmelin, JF, 1789)",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor",,,
"NHMSYS0000530727","Emberiza citrinella","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza citrinella",,,
"NHMSYS0000530329","Delichon urbicum","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Delichon","Delichon urbicum",,,
"NHMSYS0000530798","Puffinus mauretanicus","Lowe, 1921",,"SPECIES","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus mauretanicus",,,
"NHMSYS0000530165","Apus apus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus",,,
"NHMSYS0000530578","Regulus ignicapilla","(Temminck, 1820)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Regulidae","Regulus","Regulus ignicapilla",,,
"NHMSYS0021053549","Stercorarius skua","(Brünnich, 1764)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius skua",,,
"NHMSYS0021276116","Mareca strepera","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mareca","Mareca strepera",,,
"NBNSYS0000000030","Gallinago gallinago","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago gallinago",,,
"NBNSYS0000174336","Cancer pagurus","Linnaeus, 1758",,"SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer pagurus",,,
"NHMSYS0000530803","Rallus aquaticus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Rallus aquaticus",,,
"NBNSYS0000000341","Stercorarius parasiticus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius parasiticus",,,
"NBNSYS0000000167","Calidris maritima","(Brünnich, 1764)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris maritima",,,
"NHMSYS0000503827","Pieris brassicae","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris brassicae",,,
"NHMSYS0021274181","Thalasseus sandvicensis","(Latham, 1787)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus sandvicensis",,,
"NHMSYS0000501120","Aphantopus hyperantus","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aphantopus","Aphantopus hyperantus",,,
"NBNSYS0000174634","Cliona celata","Grant, 1826",,"SPECIES","Animalia","Porifera","Demospongiae","Hadromerida","Clionaidae","Cliona","Cliona celata",,,
"NHMSYS0000530759","Phylloscopus trochilus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus",,,
"NHMSYS0000504624","Vanessa atalanta","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta",,,
"NHMSYS0000516660","Polyommatus icarus","(Rottemburg, 1775)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Polyommatus","Polyommatus icarus",,,
"NBNSYS0000000218","Gavia stellata","(Pontoppidan, 1763)",,"SPECIES","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia stellata",,,
"NBNSYS0000000354","Larus canus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus canus",,,
"NHMSYS0021004277","Spinus spinus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Spinus","Spinus spinus",,,
"NHMSYS0000530316","Corvus frugilegus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus frugilegus",,,
"NHMSYS0021053623","Anemonia viridis","(Forskål, 1775)",,"SPECIES","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anemonia","Anemonia viridis",,,
"NBNSYS0000174750","Crepidula fornicata","(Linnaeus, 1758)",,"SPECIES","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","Crepidula fornicata",,,
"NBNSYS0000176934","Pagurus bernhardus","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus bernhardus",,,
"NHMSYS0000530331","Dendrocopos major","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Dendrocopos major",,,
"NHMSYS0000530348","Egretta garzetta","(Linnaeus, 1766)",,"SPECIES","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","Egretta garzetta",,,
"NBNSYS0000174273","Calliostoma zizyphinum","(Linnaeus, 1758)",,"SPECIES","Animalia","Mollusca","Gastropoda",,"Calliostomatidae","Calliostoma","Calliostoma zizyphinum",,,
"NBNSYS0000000002","Tachybaptus ruficollis","(Pallas, 1764)",,"SPECIES","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Tachybaptus","Tachybaptus ruficollis",,,
"NHMSYS0021239190","Tritia nitida / reticulata",,"agg.","SPECIES_AGGREGATE","Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Tritia",,,,
"NHMSYS0000080176","Rhinolophus ferrumequinum","(Schreber, 1774)",,"SPECIES","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus ferrumequinum",,,
"NHMSYS0000522017","Melanargia galathea","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Melanargia","Melanargia galathea",,,
"NHMSYS0001500745","Ulva","L.",,"GENUS","Plantae","Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva",,,,
"NHMSYS0000530744","Phoenicurus ochruros","(Gmelin, SG, 1774)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus ochruros",,,
"NBNSYS0000174000","Asterias rubens","Linnaeus, 1758",,"SPECIES","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens",,,
"NHMSYS0021053659","Caryophyllia (Caryophyllia) smithii","Stokes & Broderip, 1828",,"SPECIES","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia smithii",,,
"NHMSYS0000530494","Motacilla cinerea","Tunstall, 1771",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla cinerea",,,
"NHMSYS0020975310","Mytilus edulis","Linnaeus, 1758",,"SPECIES","Animalia","Mollusca","Bivalvia","Mytiloida","Mytilidae","Mytilus","Mytilus edulis",,,
"NBNSYS0000177043","Pecten maximus","(Linnaeus, 1758)",,"SPECIES","Animalia","Mollusca","Bivalvia","Pectinoida","Pectinidae","Pecten","Pecten maximus",,,
"NBNSYS0000000340","Stercorarius pomarinus","(Temminck, 1815)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius pomarinus",,,
"NHMSYS0021274101","Ichthyaetus melanocephalus","(Temminck, 1820)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Ichthyaetus","Ichthyaetus melanocephalus",,,
"NBNSYS0000174221","Bryozoa indet crusts",,,"PHYLUM","Animalia","Bryozoa crusts",,,,,,,,
"NBNSYS0000000219","Gavia arctica","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia arctica",,,
"NBNSYS0000000138","Sterna hirundo","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo",,,
"NBNSYS0000173675","Alcyonium digitatum","Linnaeus, 1758",,"SPECIES","Animalia","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Alcyonium","Alcyonium digitatum",,,
"NHMSYS0000530763","Picus viridis","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus viridis",,,
"NBNSYS0000160896","Rhodophyta",,,"PHYLUM","Plantae","Rhodophyta",,,,,,,,
"NHMSYS0000530673","Turdus iliacus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus iliacus",,,
"NBNSYS0000000197","Somateria mollissima","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Somateria","Somateria mollissima",,,
"NBNSYS0000177455","Porifera indet crusts",,,"PHYLUM","Animalia","Porifera crusts",,,,,,,,
"NHMSYS0000501356","Argynnis paphia","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Argynnis","Argynnis paphia",,,
"NHMSYS0020475548","Maja brachydactyla","Balss, 1922",,"SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Majidae","Maja","Maja brachydactyla",,,
"NHMSYS0021052700","Perforatus perforatus","(Bruguière, 1789)",,"SPECIES","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","Perforatus","Perforatus perforatus",,,
"NHMSYS0021185567","Steromphala cineraria","(Linnaeus, 1758)",,"SPECIES","Animalia","Mollusca","Gastropoda",,"Trochidae","Steromphala","Steromphala cineraria",,,
"NHMSYS0021052614","Cirripedia","Burmeister, 1834",,"INFRACLASS","Animalia","Arthropoda","Maxillopoda",,,,,,,
"NBNSYS0000000223","Podiceps grisegena","(Boddaert, 1783)",,"SPECIES","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps grisegena",,,
"NHMSYS0000530368","Fringilla montifringilla","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Fringilla montifringilla",,,
"NHMSYS0000530130","Acrocephalus scirpaceus","(Hermann, 1804)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus scirpaceus",,,
"NBNSYS0000000224","Podiceps auritus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps auritus",,,
"NBNSYS0000000008","Tadorna tadorna","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna tadorna",,,
"NHMSYS0020194827","Lissotriton vulgaris","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Lissotriton","Lissotriton vulgaris",,,
"NBNSYS0000003662","Trinia glauca","(L.) Dumort.",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Trinia","Trinia glauca",,,
"NBNSYS0000002031","Pteridium aquilinum","(L.) Kuhn",,"SPECIES","Plantae","Pteridophyta","Polypodiopsida","Polypodiales","Dennstaedtiaceae","Pteridium","Pteridium aquilinum",,,
"NHMSYS0021185570","Steromphala umbilicalis","(da Costa, 1778)",,"SPECIES","Animalia","Mollusca","Gastropoda",,"Trochidae","Steromphala","Steromphala umbilicalis",,,
"NBNSYS0000000013","Fratercula arctica","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Fratercula","Fratercula arctica",,,
"NHMSYS0000530129","Acrocephalus schoenobaenus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus schoenobaenus",,,
"NHMSYS0021048544","Spirobranchus","Blainville, 1818",,"GENUS","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Spirobranchus",,,,
"NHMSYS0021057226","Hymeniacidon perlevis","(Montagu, 1814)",,"SPECIES","Animalia","Porifera","Demospongiae","Halichondrida","Halichondriidae","Hymeniacidon","Hymeniacidon perlevis",,,
"NBNSYS0000174445","Cerianthus lloydii","Gosse, 1859",,"SPECIES","Animalia","Cnidaria","Anthozoa","Ceriantharia","Cerianthidae","Cerianthus","Cerianthus lloydii",,,
